id,autores,paradigma,algoritmo_quantico,topico,problema,abordagem,ano,hardware,num_cidades,formulacao,contribuicao,escala_testada,qualidade_solucao,tempo_execucao,taxa_sucesso,sensibilidade_parametros,robustez_ruido,metricas_avaliadas,criterios,fonte,ranking
1,Ajagekar [4],QA,QA,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
2,Alsaiyari [6],GBC,QAOA/VQE,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
3,Atchade-Adelomou [11],QA e GBC,QA,Routing,Picking,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
4,Azad [12],GBC,QAOA,Routing,VRP,Hybrid,2022,NISQ (15 qubits),Pequenas instancias,Ising,"Limitado a 15 qubits. Identifica necessidade de: melhores inicializacoes, parametros otimizados, mixers alternativos.",Pequena (<=15 qubits),Nao reportada,Nao reportado,Nao reportada,Alta,Avaliada - limitada,"Inicializacao, Mixers, Mitigacao de ruido","C4, C5",Phillipson 2025,25
5,Azzaoui [13],GBC,QAOA,Routing,TSP,Hybrid,2021,IBM Quantum Lab / Qiskit,Nao especificado,QUBO,"Otimizacao multi-objetivo: custo, tempo e pegada de carbono. 91% de taxa de sucesso.",Variavel,Reducao 10% custo e 6% carbono,Nao reportado,91%,Nao avaliada,Nao avaliada,"Custo, Tempo, Carbono, Taxa de sucesso","C1, C3, C6",Phillipson 2025,60
6,Bentley [16],GBC,QAOA,Routing,CVRP,Hybrid,2022,IBM Quantum (dispositivo real),Nao especificado,QUBO,Reducao de erros de circuito em 20x ao usar hardware real com decomposicao do problema.,Variavel,20x menos erros,Nao reportado,Nao reportada,Nao avaliada,Avaliada - melhoria significativa,"Reducao de erros, Hardware real","C1, C4",Phillipson 2025,35
7,Borowski [19],QA,QA,Routing,VRP/CVRP,Full e Hybrid,2020,D-Wave Leap,Variavel,QUBO,4 algoritmos QA comparados com meta-heuristicas classicas em benchmarks e redes viarias reais. SPS e DBSS com melhor equilibrio.,Variavel,SPS e DBSS superiores,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,"Qualidade, Tempo, Comparacao 4 algoritmos","C2, C3",Phillipson 2025,35
8,Bourreau [20],GBC,QAOA,Routing,TSP,Hybrid,2023,Simulador,8,QUBO,Uma das maiores instancias de TSP resolvidas com abordagem QAOA. Usa meta-otimizacao classica.,Pequena (<=10),Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Qualidade da solucao,Nao Reportada,Phillipson 2025,0
9,Cattelan [29],QA,QA,Routing,RPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
10,Correll [36],GBC,QML,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
11,Dixit [46],QA,QA,Routing,STDSP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
12,Feld [49],QA,QA,Routing,CVRP,Hybrid,2019,D-Wave,10-30,QUBO,Heuristica de 2 fases (clustering + roteamento) com QA. Competitivo com heuristicas classicas.,Media (10-30),Competitivo com classico,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,"Qualidade da solucao, Heuristica 2 fases","C1, C2",Phillipson 2025,35
13,Fitzek [50],GBC,QAOA,Routing,HVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
14,Fitzek [51],GBC,QAOA,Routing,HVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
15,Harikrishnakumar [62],QA,QA,Routing,(D-)MDCVRP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
16,Herzog [65],GBC,QAOA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
17,Harwood [63],GBC,QAOA,Routing,VRPTW,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
18,Irie [67],QA,QA,Routing,CVRPTW,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
19,Kanai [73],QA,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
20,Khan [74],GBC,Grover,Routing,FRO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
21,Khumalo [75],GBC,QAOA/VQE,Routing,TSP,Hybrid,2022,IBM Quantum (dispositivos reais),Pequenas instancias,QUBO,Algoritmos classicos superam os quanticos em taxa de sucesso; VQE melhor que QAOA em qualidade.,Pequena (<=10),Classico superior,Classico superior,Baixa (quantico),Alta,Avaliada em hardware real,"Taxa de sucesso, Viabilidade, Tempo","C4, C5, C6",Phillipson 2025,45
22,Le [81],QA,QA,Routing,sTSP,Hybrid,2023,D-Wave,Variavel,QUBO,Analisa parametros: tempo de annealing chain strength e qualidade da solucao por num de cidades.,Variavel,Variavel por parametro,Variavel,Nao reportada,Alta (chain strength e annealing time),Nao avaliada,"Chain strength, Annealing time, Qualidade",Nao Reportada,Phillipson 2025,0
23,Leonidas [82],GBC,QAOA,Routing,VRPTW,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
24,Li [83],GBC,VQE,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
25,Liu [84],QA,QA,Routing,TSP,Hybrid,2024,D-Wave,Nao especificado,QUBO,Solucao hibrida com decomposicao do TSP em subproblemas. Alcanca solucoes proximas ao otimo com melhor uso de recursos que abordagens puramente quanticas.,Variavel,Proxima ao otimo,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,"Qualidade da solucao, Uso de recursos","C1, C2",Phillipson 2025,35
26,Lo [85],QRNG,Não especificado,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
27,Makhanov [87],GBC,Grover,Routing,SPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
28,Makhanov [88],GBC,Grover,Routing,FRO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
29,Mario [91],QA,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
30,Marsoit [92],QA,QA,Routing,CVRP,Hybrid,2021,Nao especificado,Nao especificado,QUBO,"Aborda incertezas reais: tempo de viagem variavel, demanda incerta, condicoes climaticas.",Variavel,Limitada pelo hardware,Nao reportado,Nao reportada,Nao avaliada,Limitada pelo hardware,"Incertezas, Estocasticidade","C3, C4",Phillipson 2025,35
31,Masuda [95],CA,QA,Routing,TDVRPTW,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
32,Mohanty [99],GBC,VQE,Routing,VRP,Hybrid,2023,IBM Quantum,3-4,Circuito fixo,Analisa robustez do VQE em canais ruidosos com diferentes modelos de ruido. Importancia do otimizador classico.,Pequena (<=5),Nao reportada,Nao reportado,Nao reportada,Alta (otimizador),Avaliada - impacto significativo,"Robustez ao ruido, Escolha de otimizador","C4, C5",Phillipson 2025,25
33,Mohanty [100],GBC,QML,Routing,VRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
34,Neukart [104],QA,QA,Routing,Flow opt.,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
35,Osaba [106],QA,QA,Routing,CVRP,Hybrid,2022,Revisao,Nao Reportada,Multiplas,"Revisao que identifica os 3 problemas centrais: formulacoes irrealistas, hardware com ruido e alta sensibilidade a parametrizacao.",Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Alta,Alta,"Formulacao, Hardware, Parametrizacao","C3, C4, C5",Phillipson 2025,45
36,Palackal [108],GBC,QAOA/VQE,Routing,TSP,Hybrid,2023,Simulador,Pequenas instancias,QUBO,VQE supera QAOA ao atingir limiar de energia para solucoes viaveis. QAOA frequentemente falha.,Pequena (<=10),VQE superior a QAOA,Nao reportado,QAOA baixa / VQE moderada,Alta,Simulador apenas,"Limiar de energia, Viabilidade","C4, C5, C6",Phillipson 2025,45
37,Palmieri [109],QA e GBC,QA,Routing,CVRP,Hybrid,2023,D-Wave + Gurobi,Nao especificado,QUBO + DFJ,Subtour elimination com estrategia DFJ. QA e quantum GAMA superam VQE. Reducao de qubits necessarios.,Variavel,QA e GAVA superiores,Nao reportado,Nao reportada,Alta,Nao avaliada,"Qualidade da solucao, Qubits necessarios","C2, C5",Phillipson 2025,25
38,Papalitsas [110],QA,QA,Routing,TSPTW,Full Quantum,2019,Simulador,Nao especificado,QUBO,Primeira formulacao QUBO do TSPTW publicada na literatura.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Pioneirismo na formulacao,Nao Reportada,Phillipson 2025,0
39,Phillipson [113],QA,QA,Routing,Flow opt.,Hybrid,2021,D-Wave,Variavel,QUBO,"Implementacao real em planejamento de conteineres. Aborda: embedding, chain strength e funcoes de penalidade via grid search.",Variavel,Variavel por parametro,Nao reportado,Nao reportada,Alta (grid search),Avaliada,"Chain strength, Embedding, Penalidades","C3, C4, C5",Phillipson 2025,45
40,Poggel [117],Generic,Não especificado,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
41,Qiu [118],GBC,QACO,Routing,TSP,Hybrid,2024,Simulador,Multiplos datasets,Circuito parametrizado,QACO integrado com K-means. Melhoria de desempenho e robustez a ruido vs. versao classica.,Media (10-30),Superior ao ACO classico,Nao reportado,Nao reportada,Nao avaliada,Robusta a ruido,"Desempenho, Robustez","C2, C4",Phillipson 2025,30
42,Ramezani [120],GBC,QAOA,Routing,TSP,Hybrid,2024,Simulador,Nao especificado,QUBO otimizado,Reduz qubits de n2 para n*log2(n). Proposta para demonstrar supremacia quantica na era NISQ.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Reducao de qubits,Nao Reportada,Phillipson 2025,0
43,Rana [121],QA e GBC,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
44,Rosendo [125],QA e GBC,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
45,Sadashivan [126],QA,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
46,Salehi [128],QA,QA,Routing,TSPTW,Full Quantum,2022,D-Wave Advantage,4,"QUBO (3 formulacoes: ILP, edge-based, outro)",Tres formulacoes QUBO diferentes. Modelo ILP supera modelo edge-based em probabilidade de otimo.,Pequena (<=5),ILP superior a edge-based,Nao reportado,Nao reportada,Alta (penalidades),Nao avaliada,"Probabilidade de otimo, Impacto de penalidades","C3, C5",Phillipson 2025,30
47,Sales [129],QA,QA,Routing,CVRP,Full e Hybrid,2023,Amazon Braket / D-Wave,Variavel,QUBO,Algoritmo hibrido supera o QA puro em cenario real de logistica de ultima milha.,Variavel,Superior ao QA puro,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,"Qualidade da solucao, Cenario real","C1, C2, C3",Phillipson 2025,55
48,Salloum [130],QA,QA,Routing,TFO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
49,Salloum [131],QA,QA,Routing,TFO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
50,Sanches [132],GBC,RL,Routing,CVRP,Hybrid,2022,IBM Quantum / Simulador,Pequenas instancias,Circuito parametrizado,Circuitos quanticos substituem camadas de atencao em agentes RL para VRP. Prova de conceito.,Pequena,Prova de conceito,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Viabilidade QRL,Nao Reportada,Phillipson 2025,0
51,Sato [133],GBC,Grover,Routing,TSP,Full Quantum,2024,Simulador,Nao especificado,HOBO,Usa codificacao HOBO para reduzir requisitos de qubit e Grover para preparacao do estado inicial.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Reducao de qubits,Nao Reportada,Phillipson 2025,0
52,Sinno [144],QA,QA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
53,Spyridis [146],GBC,QAOA,Routing,m-TSP,Hybrid,2023,Simulador,Nao especificado,QUBO,Formulacao QUBO para m-TSP. Aplicacao potencial em sistemas IoT.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Viabilidade da formulacao,Nao Reportada,Phillipson 2025,0
54,Srinivasan [147],GBC,QPE,Routing,TSP,Hybrid,2018,IBM Quantum Simulator,4,QPE,Codifica distancias como fases; busca o menor caminho com speedup quadratico sobre forca bruta.,Pequena (<=5),Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Qualidade da solucao,Nao Reportada,Phillipson 2025,0
55,Tejani [151],GBC,QPE,Routing,BTSP,Hybrid,2024,Simulador,Nao especificado,QPE,Variante do TSP que minimiza a maior aresta da rota em vez da soma total.,Variavel,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,Viabilidade,Nao Reportada,Phillipson 2025,0
56,Warren [158],QA,QA,Routing,TSP,Full e Hybrid,2020,D-Wave,Nao especificado,QUBO,Analisa 4 programas para o TSP simetrico incluindo solucoes D-Wave. Referencia comparativa.,Variavel,Comparativa,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Comparacao de abordagens,Nao Reportada,Phillipson 2025,0
57,Weinberg [159],QA,QA,Routing,CVRP,Hybrid,2023,D-Wave Hybrid Solver,Variavel,QUBO,Fluxo de trabalho hibrido: QA aplicado apenas nos gargalos do pipeline. Uso disciplinado com consciencia de limitacoes.,Variavel,Nao reivindica vantagem,Nao reportado,Nao reportada,Avaliada,Avaliada,"Uso disciplinado, Limitacoes honestas","C2, C4, C5",Phillipson 2025,40
58,Wesolowski [160],GBC,Não especificado,Routing,SPSP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
59,Xie [163],GBC,QAOA,Routing,CVRP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
